S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,R8_x,R8_y,Capacity,Target_x,Target_y,StationCount,Station_1_x,Station_1_y,Station_2_x,Station_2_y,Station_3_x,Station_3_y,Station_4_x,Station_4_y,Station_5_x,Station_5_y,Station_6_x,Station_6_y,Station_7_x,Station_7_y,Station_8_x,Station_8_y,Station_9_x,Station_9_y,Station_10_x,Station_10_y,Station_11_x,Station_11_y,Station_12_x,Station_12_y,Station_13_x,Station_13_y,Station_14_x,Station_14_y,Station_15_x,Station_15_y,Station_16_x,Station_16_y,Station_17_x,Station_17_y,Station_18_x,Station_18_y,Station_19_x,Station_19_y,Station_20_x,Station_20_y,Station_21_x,Station_21_y,Station_22_x,Station_22_y,Station_23_x,Station_23_y,Station_24_x,Station_24_y,Station_25_x,Station_25_y,Station_26_x,Station_26_y,Station_27_x,Station_27_y,Station_28_x,Station_28_y,Station_29_x,Station_29_y,Station_30_x,Station_30_y,Station_31_x,Station_31_y,Station_32_x,Station_32_y,Station_33_x,Station_33_y,Station_34_x,Station_34_y,Station_35_x,Station_35_y,Station_36_x,Station_36_y,Station_37_x,Station_37_y,Station_38_x,Station_38_y,Station_39_x,Station_39_y,Station_40_x,Station_40_y,Station_41_x,Station_41_y,Station_42_x,Station_42_y,Station_43_x,Station_43_y,Station_44_x,Station_44_y,Station_45_x,Station_45_y,Station_46_x,Station_46_y,Station_47_x,Station_47_y,Station_48_x,Station_48_y,Station_49_x,Station_49_y
12,0,9,6,16,0,2,6,7,8,17,2,0,10,11,5,12,7,8,9,3,2,7,6,9,8.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,17,4,10,1,12,0,13,7,14,9,3,4,17,7,17,7,2,17,3,2,3,2,10,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2,8,5,10,6,0,3,1,7,14,9,1,0,10,9,14,7,7,4,3,1,4,9,7,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9,7,4,16,3,9,0,2,8,8,5,4,11,7,10,1,7,7,8,3,1,8,4,9,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7,17,11,8,5,7,9,8,4,9,10,11,7,12,1,7,6,7,11,2,3,11,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,7,13,10,16,10,1,1,13,9,9,0,16,5,0,0,6,6,9,15,4,3,15,5,6,9.0,6.0,9.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10,10,4,8,9,1,9,9,8,14,4,17,10,12,11,13,6,10,13,3,5,13,9,7,9.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,6,6,10,9,16,10,0,6,14,6,11,0,16,6,9,5,6,5,6,0,11,0,6,4.0,5.0,6.0,1.0,9.0,11.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,7,8,4,4,7,7,1,1,7,8,1,0,14,1,13,7,5,14,2,5,5,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,6,9,17,5,14,6,8,2,3,0,16,6,12,4,12,7,2,12,2,2,10,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,11,1,11,17,0,17,2,2,7,11,5,14,4,9,3,0,6,10,9,5,0,11,3,6,4.0,9.0,10.0,6.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4,12,0,15,4,8,10,0,9,16,9,11,4,5,5,8,5,6,3,8,0,10,0,5,3.0,3.0,4.0,7.0,6.0,1.0,9.0,11.0,9.0,6.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,7,14,5,2,8,9,1,17,2,8,0,1,7,2,9,3,6,5,15,5,0,7,0,13,4.0,15.0,5.0,5.0,5.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,11,7,10,2,3,5,1,5,10,11,6,17,6,7,7,10,14,4,0,7,1,12,6.0,14.0,10.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,5,9,8,2,5,3,5,7,0,9,4,11,7,4,0,16,6,7,0,3,0,10,0,4,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2,8,11,3,9,5,3,9,9,11,5,13,2,3,1,0,6,9,6,2,1,6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3,14,8,4,9,2,4,10,9,5,2,11,8,14,0,14,7,2,0,4,0,7,8,7,3.0,7.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2,4,11,8,7,17,8,0,7,5,1,3,6,17,6,4,6,3,11,5,3,1,3,7,5.0,8.0,7.0,11.0,6.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,11,2,9,13,6,3,8,12,6,7,3,0,4,0,7,12,5,4,15,4,6,2,4,5,4.0,10.0,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,7,7,4,0,3,7,6,15,7,9,3,13,2,3,3,9,5,0,8,4,0,1,0,6,6.0,10.0,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,10,5,11,6,8,10,17,7,8,1,12,10,7,2,12,6,2,1,5,1,6,10,11,10.0,5.0,5.0,5.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6,3,10,11,3,8,3,17,5,7,8,2,11,8,3,9,7,1,9,3,1,2,5,9,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6,16,6,2,4,15,5,10,6,1,0,6,3,17,7,17,6,9,10,4,2,10,3,11,6.0,7.0,7.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,8,11,11,14,6,14,6,16,10,6,8,17,11,0,5,6,5,1,1,5,8,12,8,2,6.0,11.0,6.0,6.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,8,0,8,9,10,4,17,11,9,11,6,4,10,7,15,6,5,15,2,5,6,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9,5,9,7,9,6,0,0,9,4,1,14,1,4,7,9,7,5,5,2,1,7,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7,1,5,11,5,16,2,3,4,5,9,4,1,7,6,6,5,3,13,4,3,2,4,4,3.0,7.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3,14,5,16,4,15,0,13,0,6,6,15,7,1,5,12,6,3,2,3,0,7,5,10,3.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,9,3,0,7,4,4,1,4,1,12,9,5,8,8,3,16,6,6,9,3,2,9,3,10,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,8,2,3,3,5,10,8,3,8,8,3,0,4,14,1,3,5,6,2,3,4,9,5,5,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,16,5,0,1,7,5,5,1,9,10,12,6,5,9,11,6,9,8,3,1,10,5,6,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,12,7,3,4,10,11,9,11,13,10,15,5,9,3,7,7,0,14,5,0,3,4,9,0.0,10.0,4.0,13.0,4.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,9,16,5,9,10,8,1,13,2,13,8,2,2,14,8,11,6,10,17,3,5,15,8,8,8.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,11,12,11,2,9,6,6,9,3,4,9,7,9,9,8,17,5,5,9,4,6,2,5,6,8.0,12.0,6.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4,9,2,5,5,7,2,10,8,16,10,13,4,16,4,10,7,0,15,3,0,9,3,13,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2,11,3,9,8,15,0,15,2,17,4,0,7,9,11,14,5,7,16,4,4,5,4,10,4.0,15.0,7.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6,1,3,7,9,16,9,10,1,0,6,7,6,10,10,2,7,4,6,3,4,3,9,9,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,11,10,2,2,6,0,11,11,2,10,1,16,10,15,8,4,5,5,4,6,1,11,1,6,4.0,4.0,10.0,10.0,10.0,5.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5,11,1,6,4,7,7,5,0,2,0,10,4,3,5,5,5,1,12,2,2,5,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
