S.No,R1_x,R1_y,R2_x,R2_y,R3_x,R3_y,R4_x,R4_y,R5_x,R5_y,R6_x,R6_y,R7_x,R7_y,Capacity,Target_x,Target_y,StationCount,Station_1_x,Station_1_y,Station_2_x,Station_2_y,Station_3_x,Station_3_y,Station_4_x,Station_4_y,Station_5_x,Station_5_y,Station_6_x,Station_6_y,Station_7_x,Station_7_y,Station_8_x,Station_8_y,Station_9_x,Station_9_y,Station_10_x,Station_10_y,Station_11_x,Station_11_y,Station_12_x,Station_12_y,Station_13_x,Station_13_y,Station_14_x,Station_14_y,Station_15_x,Station_15_y,Station_16_x,Station_16_y,Station_17_x,Station_17_y,Station_18_x,Station_18_y,Station_19_x,Station_19_y,Station_20_x,Station_20_y,Station_21_x,Station_21_y,Station_22_x,Station_22_y,Station_23_x,Station_23_y,Station_24_x,Station_24_y,Station_25_x,Station_25_y,Station_26_x,Station_26_y,Station_27_x,Station_27_y,Station_28_x,Station_28_y,Station_29_x,Station_29_y,Station_30_x,Station_30_y,Station_31_x,Station_31_y,Station_32_x,Station_32_y,Station_33_x,Station_33_y,Station_34_x,Station_34_y,Station_35_x,Station_35_y,Station_36_x,Station_36_y,Station_37_x,Station_37_y,Station_38_x,Station_38_y,Station_39_x,Station_39_y,Station_40_x,Station_40_y,Station_41_x,Station_41_y,Station_42_x,Station_42_y,Station_43_x,Station_43_y,Station_44_x,Station_44_y,Station_45_x,Station_45_y,Station_46_x,Station_46_y,Station_47_x,Station_47_y,Station_48_x,Station_48_y,Station_49_x,Station_49_y,Station_50_x,Station_50_y
11,9,3,2,11,0,11,8,10,6,9,6,3,3,8,4,4,10,3,4,6,4,11,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2,4,2,8,8,4,1,6,3,9,7,1,5,12,5,0,4,2,4,3,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7,0,3,6,6,3,8,4,3,12,9,4,3,9,4,6,8,3,3,9,5,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,8,2,9,8,11,6,10,3,0,9,11,7,12,6,8,2,2,3,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6,4,0,5,7,10,8,6,3,5,3,7,0,4,5,7,12,2,1,8,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,8,10,4,12,9,8,1,4,8,6,4,10,1,8,5,6,6,2,0,8,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4,9,3,9,5,10,6,9,0,5,4,3,6,5,6,3,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3,3,8,3,1,4,6,10,5,7,5,2,9,9,5,1,0,3,2,1,4,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8,11,8,7,8,13,3,1,7,10,5,2,5,8,5,9,5,2,4,5,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,5,2,8,12,4,2,0,3,6,0,2,3,5,3,5,0,6,3,4,7,4,11,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9,10,2,3,9,0,0,8,1,4,2,7,8,9,6,0,11,3,2,7,8,1,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5,12,0,13,4,4,3,3,7,12,3,12,4,11,5,4,9,2,2,6,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,7,6,2,2,9,6,3,1,3,9,0,7,3,0,6,1,7,1,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,5,9,4,8,4,3,2,5,2,8,2,4,3,8,5,3,12,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,5,4,8,7,0,3,0,1,5,13,6,5,7,0,4,9,13,5,1,3,4,2,7,3,7,7,7,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,13,1,7,4,3,8,4,0,2,8,11,3,10,6,9,10,2,1,7,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3,4,7,2,0,9,9,11,9,1,2,9,2,8,6,6,12,2,4,2,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,6,10,5,7,2,5,0,1,9,5,1,1,6,2,6,0,7,2,0,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,7,0,5,7,5,6,0,12,6,4,2,7,3,10,4,4,2,4,2,12,3,9,4,0,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2,6,1,10,3,7,0,4,5,4,6,13,3,11,4,4,2,3,3,4,3,8,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4,8,1,12,2,3,0,0,0,5,6,4,7,2,4,8,12,5,1,3,3,10,4,3,4,7,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2,11,6,3,8,6,8,1,1,11,0,4,2,12,5,5,10,3,0,0,4,1,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,5,8,3,5,2,12,8,8,7,5,7,1,7,2,4,2,8,2,3,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6,9,2,2,5,6,1,7,3,4,0,9,2,5,4,5,1,3,4,6,4,9,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,7,7,2,2,0,1,2,0,4,1,0,6,7,6,5,6,9,2,1,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3,12,8,7,8,5,5,8,4,1,5,0,4,0,4,7,10,3,4,9,5,2,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9,4,6,1,5,3,7,0,8,4,4,11,0,10,6,7,1,2,2,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9,5,8,4,2,11,9,10,9,12,2,13,5,11,5,8,7,2,1,10,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,8,5,3,1,1,12,5,3,9,10,0,10,5,4,8,3,0,8,1,4,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3,6,9,8,4,1,9,6,5,11,0,2,6,9,5,5,2,1,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2,12,4,9,9,11,6,2,0,6,5,10,6,7,5,7,12,2,4,5,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,5,2,4,7,8,10,3,4,0,9,5,5,6,11,5,2,10,2,3,5,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,8,6,4,12,1,11,7,0,6,0,8,3,5,0,6,9,13,2,6,4,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4,13,8,12,7,3,9,2,2,0,5,11,2,6,5,7,12,3,4,6,4,10,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6,2,8,12,7,13,7,2,8,2,8,4,6,1,6,0,8,2,4,4,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,9,13,7,8,8,1,8,4,3,12,5,8,0,4,4,0,8,4,4,8,7,4,7,8,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,7,6,4,6,3,1,2,7,3,12,4,12,8,12,6,0,4,2,0,8,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4,2,8,4,0,11,1,2,3,4,5,13,9,10,6,5,9,2,0,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,12,9,0,7,12,0,5,0,7,9,6,2,5,5,4,12,3,3,9,4,5,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,8,8,6,7,0,8,4,6,3,6,7,12,7,11,6,8,6,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
